"","playerID","fg_playerID","POS","inducted","play_era","GIDP","GS","InnOuts","PO","A","E","DP","PB","WP","SB_against","CS_for","ZR","Triple Crown","500_hr","3000_hit","1500_runs","1500_rbi","2500_G","ped_use","Name","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","BB/K","OBP","SLG","OPS","ISO","BABIP","wOBA","WAR","wRC+","Spd","Def","AVG+","BB%+","K%+","OBP+","SLG+","ISO+","BABIP+","all_star_appearances","num_gold_gloves","num_mvp","num_ws_mvp","silver_slugger","hank_aaron_award"
"63","matheed01",1008236,"3B","1","Expansion",123,1995,52928,2966,4385,313,444,0,0,0,0,0,"0","Yes","No","Yes","No","No","No","Eddie Mathews",2391,8537,10101,2315,1377,354,72,512,1509,1453,1444,107,1487,26,58,36,123,68,39,0.271,0.143,0.147,0.97,0.376,0.509,0.885,0.238,0.273,0.389,96.1,143,4.1,62.8,102,167,121,113,125,167,97,9,0,0,0,0,0
"64","mccorfr01",1008413,"1B","0","Integration",176,0,0,13803,1003,79,1221,0,0,0,0,0,"0","No","No","No","No","No","No","Frank McCormick",1534,5723,6207,1711,1223,334,26,128,722,951,399,0,189,27,0,58,176,27,0,0.299,0.064,0.03,2.11,0.348,0.434,0.781,0.135,0.293,0.363,33.5,118,3.1,-0.5,111,73,39,103,114,121,103,9,0,1,0,0,0
"65","santoro01",1011447,"3B","1","Expansion",256,2172,57866,2100,4717,327,449,0,0,0,0,0,"0","No","No","No","No","No","No","Ron Santo",2243,8143,9397,2254,1480,365,67,342,1138,1331,1109,94,1343,38,94,13,256,35,41,0.277,0.118,0.143,0.83,0.362,0.464,0.827,0.187,0.292,0.367,70.9,126,3.1,69.5,106,142,105,111,119,146,102,9,5,0,0,0,0
"66","sheffga01",114,"RF","0","Steroids",235,2205,56209,3275,1240,171,135,0,0,0,0,0,"0","Yes","No","Yes","Yes","Yes","Yes","Gary Sheffield",2576,9217,10947,2689,1686,467,27,509,1636,1676,1475,130,1171,135,111,9,235,253,104,0.292,0.135,0.107,1.26,0.393,0.514,0.907,0.222,0.285,0.391,62.1,141,4.2,-300.9,109,151,67,116,122,145,96,9,0,0,0,5,0
"67","torrejo01",1013133,"C","0","Free Agency",284,2043,54338,11618,1731,169,735,87,235,322,225,12,"0","No","No","No","No","No","No","Joe Torre",2209,7874,8802,2342,1687,344,59,252,996,1185,779,127,1094,85,50,13,284,23,29,0.297,0.089,0.124,0.71,0.365,0.452,0.817,0.155,0.318,0.364,62.3,129,2.9,-9.8,114,104,93,112,117,122,112,9,1,1,0,0,0
"68","vaughar01",1013377,"SS","1","Integration",70,0,0,3308,5119,417,875,0,0,0,0,0,"0","No","No","No","No","No","No","Arky Vaughan",1817,6622,7721,2103,1523,356,128,96,1173,926,937,0,276,46,0,116,70,118,0,0.318,0.121,0.036,3.39,0.406,0.453,0.859,0.136,0.321,0.399,72.4,138,5.7,109.9,115,153,46,120,116,120,111,9,0,0,0,0,0
"69","boudrlo01",1001234,"SS","1","Integration",155,0,0,3265,4877,230,1205,0,0,0,0,0,"0","No","No","No","No","No","No","Lou Boudreau",1646,6029,7023,1779,1260,385,66,68,861,789,796,0,309,34,0,164,155,51,50,0.295,0.113,0.044,2.58,0.38,0.415,0.795,0.12,0.303,0.375,64.4,122,4,212.5,110,112,54,110,107,102,107,8,0,1,0,0,0
"70","camparo01",1001871,"C","1","Integration",143,431,11551,6520,550,85,82,56,93,85,80,4,"0","No","No","No","No","No","No","Roy Campanella",1432,4956,5643,1403,888,226,30,259,771,1015,608,30,501,31,18,43,143,35,15,0.283,0.108,0.104,1.06,0.364,0.498,0.861,0.214,0.264,0.388,45.7,126,3.4,86.2,105,116,105,107,122,156,95,8,0,3,0,0,0
"71","coopewa01",1002601,"C","0","Integration",160,89,2386,5166,589,138,80,79,21,22,12,0,"0","No","No","No","No","No","No","Walker Cooper",1473,4702,5078,1341,888,240,40,173,573,812,309,3,357,22,1,44,160,18,1,0.285,0.061,0.07,0.87,0.332,0.464,0.796,0.178,0.28,0.365,29.6,114,3.3,35.5,107,65,79,98,118,144,100,8,0,0,0,0,0
"72","crandde01",1002729,"C","0","Expansion",162,1151,31077,7449,766,90,125,60,174,289,240,39,"0","No","No","No","No","No","No","Del Crandall",1573,5026,5581,1276,900,179,18,179,585,657,424,95,477,21,42,68,162,26,28,0.254,0.076,0.085,0.89,0.312,0.404,0.716,0.15,0.249,0.315,29,93,2.8,154.1,95,86,76,93,98,102,88,8,4,0,0,0,0
